sample	contig	coverage
bc2113	contig_2288	4.53667
bc2113	contig_2289	5.62812
bc2113	contig_2740	3.42978
bc2113	contig_2741	4.04216
bc2113	contig_2742	5.78154
bc2113	contig_2743	3.28191
bc2113	contig_2744	6.88297
bc2113	contig_2745	3.9679
bc2113	contig_2746	6.9305
bc2113	contig_2747	3.14623
bc2113	contig_2748	3.4252
bc2113	contig_2749	3.16584
bc2113	contig_1420	3.38932
bc2113	contig_1421	9.48234
bc2113	contig_1422	3.57191
bc2113	contig_1423	3.76013
bc2113	contig_1424	3.11047
bc2113	contig_1425	3.89561
bc2113	contig_1426	3.79165
bc2113	contig_1427	2.98733
bc2113	contig_1428	3.84813
bc2113	contig_1429	3.04819
bc2113	contig_2290	4.31923
bc2113	contig_2291	2.81096
bc2113	contig_2292	3.29076
bc2113	contig_2293	5.43733
bc2113	contig_2294	2.52587
bc2113	contig_2295	4.21424
bc2113	contig_2296	4.43401
bc2113	contig_2297	4.06513
bc2113	contig_2298	3.02976
bc2113	contig_2299	3.4094
bc2113	contig_2750	3.79308
bc2113	contig_2751	4.89557
bc2113	contig_2752	5.24281
bc2113	contig_2753	3.87553
bc2113	contig_2754	4.64888
bc2113	contig_2755	5.67226
bc2113	contig_2756	3.60882
bc2113	contig_2757	2.92917
bc2113	contig_2758	4.30108
bc2113	contig_2759	6.29937
bc2113	contig_1430	3.55929
bc2113	contig_1431	2.42311
bc2113	contig_1432	5.27628
bc2113	contig_1433	5.25799
bc2113	contig_1434	2.9332
bc2113	contig_1435	9.55808
bc2113	contig_1436	4.91295
bc2113	contig_1437	4.02058
bc2113	contig_1438	4.53448
bc2113	contig_1439	2.24888
bc2113	contig_2760	3.83994
bc2113	contig_2762	3.77987
bc2113	contig_2763	3.18169
bc2113	contig_2764	3.85651
bc2113	contig_2765	4.46241
bc2113	contig_2766	2.35273
bc2113	contig_2767	3.71203
bc2113	contig_2768	2.72034
bc2113	contig_2769	4.81377
bc2113	contig_1440	4.70066
bc2113	contig_1441	3.95208
bc2113	contig_1442	6.35508
bc2113	contig_1443	3.15062
bc2113	contig_1444	4.23353
bc2113	contig_1445	9.86651
bc2113	contig_1446	8.35275
bc2113	contig_1447	5.51211
bc2113	contig_1449	3.28282
bc2113	contig_1900	5.37516
bc2113	contig_1901	3.42392
bc2113	contig_1902	3.81899
bc2113	contig_1903	5.82305
bc2113	contig_1904	5.70246
bc2113	contig_4000	2.93948
bc2113	contig_1905	3.8073
bc2113	contig_4001	4.19634
bc2113	contig_4002	4.64253
bc2113	contig_4003	2.76543
bc2113	contig_1908	3.65144
bc2113	contig_4004	3.09272
bc2113	contig_1909	5.0064
bc2113	contig_4005	2.48751
bc2113	contig_4006	4.35988
bc2113	contig_4007	2.78228
bc2113	contig_4008	3.88574
bc2113	contig_4009	2.3063
bc2113	contig_2770	3.18529
bc2113	contig_2771	3.91339
bc2113	contig_2772	5.09845
bc2113	contig_2773	2.98989
bc2113	contig_2774	3.12168
bc2113	contig_2775	8.74452
bc2113	contig_2776	2.99996
bc2113	contig_2777	3.93496
bc2113	contig_2778	3.20768
bc2113	contig_2779	3.37505
bc2113	contig_1450	3.92698
bc2113	contig_1451	4.0572
bc2113	contig_1452	3.0321
bc2113	contig_1453	5.29234
bc2113	contig_1454	2.72745
bc2113	contig_1455	5.79217
bc2113	contig_1456	3.918
bc2113	contig_1457	6.96323
bc2113	contig_1458	2.69303
bc2113	contig_1459	3.19511
bc2113	contig_1910	2.81909
bc2113	contig_1911	4.09609
bc2113	contig_1912	3.22761
bc2113	contig_1913	5.56247
bc2113	contig_4010	10.6454
bc2113	contig_1915	8.77241
bc2113	contig_4011	2.7403
bc2113	contig_1916	3.30344
bc2113	contig_4012	4.85538
bc2113	contig_1917	6.2473
bc2113	contig_4013	3.34899
bc2113	contig_1918	3.71198
bc2113	contig_4014	3.40962
bc2113	contig_1919	4.34023
bc2113	contig_4015	2.92414
bc2113	contig_4016	4.93037
bc2113	contig_4017	4.0481
bc2113	contig_4018	5.96921
bc2113	contig_4019	2.98595
bc2113	contig_2780	5.25399
bc2113	contig_2781	3.85276
bc2113	contig_2782	4.54182
bc2113	contig_2783	4.13926
bc2113	contig_2784	3.1942
bc2113	contig_2785	3.66199
bc2113	contig_2786	4.44887
bc2113	contig_2787	7.05031
bc2113	contig_2788	2.99902
bc2113	contig_2789	4.02157
bc2113	contig_1460	6.39602
bc2113	contig_1463	5.72379
bc2113	contig_1464	3.52019
bc2113	contig_1465	5.888
bc2113	contig_1466	4.28762
bc2113	contig_1467	4.35377
bc2113	contig_1468	3.98793
bc2113	contig_1469	6.88517
bc2113	contig_1920	3.30807
bc2113	contig_1921	2.49822
bc2113	contig_1922	2.77643
bc2113	contig_1923	4.86219
bc2113	contig_1924	3.10869
bc2113	contig_4020	5.58644
bc2113	contig_1925	6.4634
bc2113	contig_4021	3.46353
bc2113	contig_1926	3.6824
bc2113	contig_4022	5.63297
bc2113	contig_1927	5.55054
bc2113	contig_4023	2.8851
bc2113	contig_1928	5.29434
bc2113	contig_4024	3.34244
bc2113	contig_1929	3.34942
bc2113	contig_4025	2.52226
bc2113	contig_4026	2.55302
bc2113	contig_4027	2.65971
bc2113	contig_4028	4.73128
bc2113	contig_4029	5.50536
bc2113	contig_2790	2.52674
bc2113	contig_2791	3.6969
bc2113	contig_2792	2.65479
bc2113	contig_2793	4.64496
bc2113	contig_2794	3.51731
bc2113	contig_2795	2.81448
bc2113	contig_2796	5.55613
bc2113	contig_2797	2.66166
bc2113	contig_2798	4.60285
bc2113	contig_2799	5.8662
bc2113	contig_1470	5.35839
bc2113	contig_1471	6.19781
bc2113	contig_1472	5.32535
bc2113	contig_1473	6.73217
bc2113	contig_1474	6.27666
bc2113	contig_1475	6.07976
bc2113	contig_1476	2.90509
bc2113	contig_1477	4.31432
bc2113	contig_1478	3.04927
bc2113	contig_1479	3.19602
bc2113	contig_1930	5.62597
bc2113	contig_1931	6.09585
bc2113	contig_1932	3.26671
bc2113	contig_1933	5.70222
bc2113	contig_1934	3.63674
bc2113	contig_4030	3.28392
bc2113	contig_1935	3.67596
bc2113	contig_4031	3.09764
bc2113	contig_4032	2.54869
bc2113	contig_4033	2.3205
bc2113	contig_4034	2.3784
bc2113	contig_4035	3.08183
bc2113	contig_4036	2.84804
bc2113	contig_4037	3.25488
bc2113	contig_4038	3.00335
bc2113	contig_4039	2.67933
bc2113	contig_1480	7.7295
bc2113	contig_1481	6.70771
bc2113	contig_1482	9.23851
bc2113	contig_1483	4.2176
bc2113	contig_1484	3.68849
bc2113	contig_1489	6.86999
bc2113	contig_1940	5.86407
bc2113	contig_1941	3.19022
bc2113	contig_1942	3.34003
bc2113	contig_1943	7.0132
bc2113	contig_1944	4.24769
bc2113	contig_4040	4.3514
bc2113	contig_1945	3.51317
bc2113	contig_4041	3.99618
bc2113	contig_1946	3.87303
bc2113	contig_4042	3.1493
bc2113	contig_1947	5.72731
bc2113	contig_4043	2.45529
bc2113	contig_1948	3.02935
bc2113	contig_4044	4.49822
bc2113	contig_1949	4.03302
bc2113	contig_4045	3.22573
bc2113	contig_4046	2.83673
bc2113	contig_4047	2.80777
bc2113	contig_4048	5.00853
bc2113	contig_4049	5.62
bc2113	contig_4500	7.75076
bc2113	contig_4501	8.9857
bc2113	contig_4502	9.26079
bc2113	contig_4503	6.27248
bc2113	contig_4504	7.8822
bc2113	contig_4505	4.30823
bc2113	contig_4506	6.3534
bc2113	contig_4507	3.37024
bc2113	contig_4508	2.66235
bc2113	contig_4509	6.41213
bc2113	contig_1491	5.26873
bc2113	contig_1494	5.73512
bc2113	contig_1496	3.14064
bc2113	contig_1497	5.56456
bc2113	contig_1498	3.55
bc2113	contig_1499	4.39881
bc2113	contig_1950	3.6789
bc2113	contig_1951	3.03709
bc2113	contig_1952	3.02403
bc2113	contig_1953	2.63672
bc2113	contig_1954	7.23889
bc2113	contig_4050	2.62101
bc2113	contig_1955	4.40389
bc2113	contig_4051	2.90574
bc2113	contig_1956	5.4894
bc2113	contig_4052	6.82341
bc2113	contig_1957	4.38168
bc2113	contig_4053	2.92911
bc2113	contig_1958	2.84673
bc2113	contig_4054	3.12809
bc2113	contig_4055	3.15269
bc2113	contig_4056	3.00519
bc2113	contig_4057	5.09311
bc2113	contig_4058	5.82306
bc2113	contig_4059	3.43301
bc2113	contig_4510	2.941
bc2113	contig_4511	5.48071
bc2113	contig_4512	6.75926
bc2113	contig_4513	6.22198
bc2113	contig_4514	6.23415
bc2113	contig_4515	4.13256
bc2113	contig_4516	4.8444
bc2113	contig_4517	4.27904
bc2113	contig_4518	155.523
bc2113	contig_4519	5.08053
bc2113	contig_1960	2.81987
bc2113	contig_1961	6.86551
bc2113	contig_1962	6.2749
bc2113	contig_1963	4.59879
bc2113	contig_1964	5.02382
bc2113	contig_4060	2.58027
bc2113	contig_1965	4.76521
bc2113	contig_4061	3.69414
bc2113	contig_1966	3.977
bc2113	contig_4062	2.6899
bc2113	contig_1967	3.44825
bc2113	contig_4063	4.33844
bc2113	contig_1968	3.4049
bc2113	contig_4064	3.98124
bc2113	contig_1969	5.76497
bc2113	contig_4065	2.79136
bc2113	contig_4066	4.12097
bc2113	contig_4067	3.1318
bc2113	contig_4068	2.79096
bc2113	contig_4069	3.92529
bc2113	contig_4520	4.25376
bc2113	contig_4521	7.53072
bc2113	contig_4522	6.53948
bc2113	contig_4523	5.16684
bc2113	contig_4524	5.71705
bc2113	contig_4525	4.51854
bc2113	contig_4526	6.93382
bc2113	contig_4527	5.69186
bc2113	contig_4528	5.73774
bc2113	contig_4529	4.76582
bc2113	contig_3200	3.87043
bc2113	contig_3201	4.31552
bc2113	contig_3202	3.92715
bc2113	contig_3203	2.59397
bc2113	contig_3204	2.73793
bc2113	contig_3205	2.8387
bc2113	contig_3206	4.54869
bc2113	contig_3207	6.05721
bc2113	contig_3208	4.727
bc2113	contig_3209	2.86173
bc2113	contig_1970	5.04242
bc2113	contig_1971	5.09572
bc2113	contig_1974	5.29899
bc2113	contig_4070	3.50292
bc2113	contig_1975	2.79042
bc2113	contig_4071	3.97988
bc2113	contig_1976	6.25753
bc2113	contig_4072	6.01249
bc2113	contig_1977	3.1819
bc2113	contig_4073	2.75409
bc2113	contig_1978	3.78399
bc2113	contig_4074	3.17816
bc2113	contig_1979	3.97441
bc2113	contig_4075	3.42592
bc2113	contig_4076	4.02135
bc2113	contig_4077	3.27878
bc2113	contig_4078	2.66227
bc2113	contig_4079	6.09658
bc2113	contig_10	2.72923
bc2113	contig_11	2.39046
bc2113	contig_12	2.4872
bc2113	contig_13	2.61177
bc2113	contig_301	5.57947
bc2113	contig_14	3.56828
bc2113	contig_302	4.50098
bc2113	contig_15	2.88288
bc2113	contig_303	2.43227
bc2113	contig_16	3.05546
bc2113	contig_17	3.79849
bc2113	contig_18	4.52525
bc2113	contig_306	5.01528
bc2113	contig_19	6.66859
bc2113	contig_308	6.72423
bc2113	contig_309	2.35502
bc2113	contig_4530	4.58992
bc2113	contig_4531	15.2047
bc2113	contig_4532	5.58626
bc2113	contig_4533	6.52887
bc2113	contig_4534	6.37542
bc2113	contig_4535	4.40047
bc2113	contig_4536	6.05046
bc2113	contig_4537	4.68026
bc2113	contig_4538	3.66236
bc2113	contig_4539	6.85136
bc2113	contig_3210	4.30829
bc2113	contig_3212	3.39771
bc2113	contig_3213	3.46004
bc2113	contig_3214	4.43486
bc2113	contig_3215	2.40162
bc2113	contig_3216	4.82381
bc2113	contig_3217	5.31173
bc2113	contig_3218	2.39879
bc2113	contig_3219	2.85847
bc2113	contig_1980	4.73526
bc2113	contig_1981	3.18282
bc2113	contig_1982	4.4902
bc2113	contig_1983	3.62039
bc2113	contig_1984	5.67787
bc2113	contig_4080	4.03104
bc2113	contig_1985	2.93384
bc2113	contig_4081	3.21423
bc2113	contig_1986	3.2987
bc2113	contig_4082	2.68448
bc2113	contig_1987	3.24616
bc2113	contig_4083	3.68595
bc2113	contig_1988	4.18388
bc2113	contig_4084	3.4071
bc2113	contig_1989	4.75902
bc2113	contig_4085	6.3688
bc2113	contig_4086	4.76562
bc2113	contig_4087	2.55993
bc2113	contig_4088	9.59502
bc2113	contig_4089	4.63399
bc2113	contig_20	2.93112
bc2113	contig_21	3.90153
bc2113	contig_22	4.65932
bc2113	contig_310	3.2726
bc2113	contig_23	3.21772
bc2113	contig_311	2.82867
bc2113	contig_24	4.8119
bc2113	contig_312	4.35677
bc2113	contig_25	3.51412
bc2113	contig_26	3.57034
bc2113	contig_27	4.50932
bc2113	contig_28	2.99071
bc2113	contig_316	6.27426
bc2113	contig_317	3.69848
bc2113	contig_318	4.05317
bc2113	contig_319	2.81297
bc2113	contig_4540	4.32051
bc2113	contig_4541	7.3745
bc2113	contig_4542	3.40386
bc2113	contig_4543	10.4692
bc2113	contig_4544	6.88751
bc2113	contig_4545	4.34059
bc2113	contig_4546	3.97609
bc2113	contig_4547	3.12466
bc2113	contig_4548	7.02814
bc2113	contig_4549	11.8872
bc2113	contig_3220	3.07198
bc2113	contig_3221	6.4613
bc2113	contig_3222	4.24729
bc2113	contig_3223	4.53925
bc2113	contig_3224	3.71171
bc2113	contig_3225	2.43963
bc2113	contig_3226	2.68774
bc2113	contig_3227	4.31871
bc2113	contig_3228	3.29509
bc2113	contig_3229	4.88869
bc2113	contig_1991	2.70292
bc2113	contig_1992	3.96118
bc2113	contig_1993	4.75554
bc2113	contig_1994	5.63744
bc2113	contig_4090	4.79439
bc2113	contig_1995	3.53301
bc2113	contig_4091	3.07948
bc2113	contig_1996	4.34469
bc2113	contig_4092	5.10519
bc2113	contig_1997	8.32767
bc2113	contig_4093	3.43801
bc2113	contig_1998	4.21204
bc2113	contig_4094	3.34447
bc2113	contig_4095	3.58128
bc2113	contig_4096	6.06999
bc2113	contig_4097	3.65955
bc2113	contig_4098	4.64782
bc2113	contig_4099	2.62332
bc2113	contig_320	6.96436
bc2113	contig_321	2.9229
bc2113	contig_34	93.6281
bc2113	contig_322	6.37548
bc2113	contig_35	10.053
bc2113	contig_323	16.3002
bc2113	contig_324	3.99537
bc2113	contig_37	3.36711
bc2113	contig_325	2.94441
bc2113	contig_39	6.95157
bc2113	contig_327	5.88801
bc2113	contig_328	6.25209
bc2113	contig_329	4.25149
bc2113	contig_4551	6.29889
bc2113	contig_4553	4.11436
bc2113	contig_4554	6.19505
bc2113	contig_4555	6.96032
bc2113	contig_4556	5.97992
bc2113	contig_4557	5.4673
bc2113	contig_4559	15.7023
bc2113	contig_3230	4.74416
bc2113	contig_3231	5.21035
bc2113	contig_3232	10.005
bc2113	contig_3233	3.76621
bc2113	contig_3234	2.74427
bc2113	contig_3235	3.31934
bc2113	contig_3236	5.60204
bc2113	contig_3237	3.5446
bc2113	contig_3238	2.72608
bc2113	contig_3239	4.88931
bc2113	contig_40	5.29631
bc2113	contig_41	38.075
bc2113	contig_42	3.82686
bc2113	contig_330	4.54008
bc2113	contig_43	3.91418
bc2113	contig_331	5.37406
bc2113	contig_44	2.6579
bc2113	contig_45	9.85044
bc2113	contig_333	7.03145
bc2113	contig_334	2.99836
bc2113	contig_335	2.54193
bc2113	contig_336	6.26572
bc2113	contig_49	4.70945
bc2113	contig_337	3.53764
bc2113	contig_338	4.57098
bc2113	contig_339	5.83456
bc2113	contig_4560	30.7042
bc2113	contig_4561	4.93635
bc2113	contig_4562	5.07235
bc2113	contig_4563	5.39351
bc2113	contig_4564	3.77136
bc2113	contig_4565	5.1007
bc2113	contig_4566	4.77123
bc2113	contig_4567	3.87967
bc2113	contig_4568	3.98339
bc2113	contig_4569	5.67616
bc2113	contig_3240	7.93544
bc2113	contig_3241	2.72378
bc2113	contig_3242	2.69785
bc2113	contig_3243	2.98732
bc2113	contig_3244	2.78227
bc2113	contig_3245	2.86905
bc2113	contig_3246	2.99474
bc2113	contig_3247	2.98022
bc2113	contig_3248	3.73212
bc2113	contig_3249	2.61574
bc2113	contig_3700	3.17478
bc2113	contig_3701	3.78431
bc2113	contig_52	6.49829
bc2113	contig_3702	5.37799
bc2113	contig_340	4.16023
bc2113	contig_53	3.65372
bc2113	contig_3703	4.90755
bc2113	contig_341	3.98573
bc2113	contig_54	3.27723
bc2113	contig_3704	4.74415
bc2113	contig_342	3.29849
bc2113	contig_55	3.40689
bc2113	contig_343	5.74441
bc2113	contig_56	3.85755
bc2113	contig_3706	2.71926
bc2113	contig_344	5.71338
bc2113	contig_57	7.4976
bc2113	contig_3707	7.28022
bc2113	contig_345	2.49616
bc2113	contig_58	4.82156
bc2113	contig_3708	3.00399
