sample	contig	coverage
bc2113	contig_4120	3.52233
bc2113	contig_4121	7.16086
bc2113	contig_4122	3.44206
bc2113	contig_4123	2.93383
bc2113	contig_4124	4.12961
bc2113	contig_4125	2.73285
bc2113	contig_4126	3.12033
bc2113	contig_4127	2.69669
bc2113	contig_4128	3.14968
bc2113	contig_4129	5.77208
bc2113	contig_2890	5.58666
bc2113	contig_2891	5.59286
bc2113	contig_2892	5.81179
bc2113	contig_2893	5.30405
bc2113	contig_2894	9.19175
bc2113	contig_2895	3.59552
bc2113	contig_2896	3.87165
bc2113	contig_2897	4.72859
bc2113	contig_2898	3.27901
bc2113	contig_2899	7.20925
bc2113	contig_1570	5.16234
bc2113	contig_1571	3.43615
bc2113	contig_1572	3.06954
bc2113	contig_1573	5.20939
bc2113	contig_1574	3.35326
bc2113	contig_1575	5.01866
bc2113	contig_1576	5.60449
bc2113	contig_1577	5.0066
bc2113	contig_1578	6.51592
bc2113	contig_1579	4.4065
bc2113	contig_4130	7.15325
bc2113	contig_4131	2.95274
bc2113	contig_4132	4.34883
bc2113	contig_4133	3.40321
bc2113	contig_4134	2.572
bc2113	contig_4135	3.35007
bc2113	contig_4136	3.77485
bc2113	contig_4137	4.37897
bc2113	contig_4138	3.50171
bc2113	contig_4139	4.53828
bc2113	contig_1580	4.98304
bc2113	contig_1581	2.28295
bc2113	contig_1582	3.28522
bc2113	contig_1583	3.52703
bc2113	contig_1584	5.42312
bc2113	contig_1585	6.04189
bc2113	contig_1586	5.87024
bc2113	contig_1587	2.82885
bc2113	contig_1588	3.17308
bc2113	contig_1589	4.1234
bc2113	contig_4140	3.6986
bc2113	contig_4141	3.40984
bc2113	contig_4142	3.80017
bc2113	contig_4143	3.58745
bc2113	contig_4144	2.68807
bc2113	contig_4145	3.01565
bc2113	contig_4146	2.95925
bc2113	contig_4147	2.60234
bc2113	contig_4148	3.09336
bc2113	contig_4149	3.38974
bc2113	contig_4600	5.91447
bc2113	contig_4601	4.91783
bc2113	contig_4602	6.5266
bc2113	contig_4603	4.22271
bc2113	contig_4604	3.75137
bc2113	contig_4605	3.65503
bc2113	contig_4606	4.4487
bc2113	contig_4608	8.15274
bc2113	contig_4609	8.02764
bc2113	contig_1590	3.55488
bc2113	contig_1595	3.30375
bc2113	contig_1596	3.43493
bc2113	contig_1597	3.71371
bc2113	contig_1598	8.25367
bc2113	contig_1599	4.25322
bc2113	contig_4150	7.53915
bc2113	contig_4151	2.82439
bc2113	contig_4152	5.04704
bc2113	contig_4153	4.9539
bc2113	contig_4154	2.9545
bc2113	contig_4155	2.78078
bc2113	contig_4156	3.72699
bc2113	contig_4157	5.42029
bc2113	contig_4158	5.3286
bc2113	contig_4159	2.32579
bc2113	contig_4610	7.44488
bc2113	contig_4611	7.61859
bc2113	contig_4612	3.85959
bc2113	contig_4613	5.32432
bc2113	contig_4614	4.60695
bc2113	contig_4615	3.18262
bc2113	contig_4616	5.47437
bc2113	contig_4617	6.08734
bc2113	contig_4618	4.8501
bc2113	contig_4619	3.2758
bc2113	contig_4160	3.77322
bc2113	contig_4161	2.68614
bc2113	contig_4162	2.86041
bc2113	contig_4163	2.91723
bc2113	contig_4164	5.62382
bc2113	contig_4165	2.37962
bc2113	contig_4166	3.1762
bc2113	contig_4167	2.93911
bc2113	contig_4168	2.92401
bc2113	contig_4169	3.23328
bc2113	contig_4621	3.16356
bc2113	contig_4622	2.9358
bc2113	contig_4623	3.35644
bc2113	contig_4624	7.68601
bc2113	contig_4625	6.76454
bc2113	contig_4626	4.48444
bc2113	contig_4627	6.29696
bc2113	contig_4628	4.75328
bc2113	contig_4629	4.61943
bc2113	contig_3300	3.49702
bc2113	contig_3301	2.8806
bc2113	contig_3302	3.84602
bc2113	contig_3303	2.62788
bc2113	contig_3304	3.96794
bc2113	contig_3305	3.7687
bc2113	contig_3306	5.60323
bc2113	contig_3307	3.43024
bc2113	contig_3308	3.79129
bc2113	contig_3309	3.29625
bc2113	contig_4170	3.91231
bc2113	contig_4171	4.04765
bc2113	contig_4172	4.35472
bc2113	contig_4173	2.61862
bc2113	contig_4174	3.35507
bc2113	contig_4175	3.95965
bc2113	contig_4176	4.86908
bc2113	contig_4177	3.27297
bc2113	contig_4178	2.17709
bc2113	contig_4179	2.86324
bc2113	contig_400	12.718
bc2113	contig_401	3.33389
bc2113	contig_402	2.74307
bc2113	contig_403	4.69612
bc2113	contig_404	3.50076
bc2113	contig_405	2.5071
bc2113	contig_406	3.71361
bc2113	contig_407	4.25755
bc2113	contig_408	3.5597
bc2113	contig_409	2.52001
bc2113	contig_4630	3.72033
bc2113	contig_4631	4.8299
bc2113	contig_4633	6.84005
bc2113	contig_4634	4.08163
bc2113	contig_4635	6.41681
bc2113	contig_4636	4.99464
bc2113	contig_4637	4.09186
bc2113	contig_4638	4.9052
bc2113	contig_4639	6.78387
bc2113	contig_3310	5.74085
bc2113	contig_3311	7.42097
bc2113	contig_3312	4.53535
bc2113	contig_3313	3.49443
bc2113	contig_3314	3.90523
bc2113	contig_3315	2.95262
bc2113	contig_3316	3.17073
bc2113	contig_3317	3.39438
bc2113	contig_3318	4.0594
bc2113	contig_3319	2.62837
bc2113	contig_4180	3.37516
bc2113	contig_4181	4.22296
bc2113	contig_4182	2.80092
bc2113	contig_4183	5.19697
bc2113	contig_4184	3.17787
bc2113	contig_4185	2.29681
bc2113	contig_4186	3.51835
bc2113	contig_4187	3.70574
bc2113	contig_4188	2.59742
bc2113	contig_4189	5.91322
bc2113	contig_410	4.98507
bc2113	contig_411	8.15985
bc2113	contig_412	2.68572
bc2113	contig_413	2.70011
bc2113	contig_414	2.99236
bc2113	contig_415	4.50883
bc2113	contig_416	3.18257
bc2113	contig_417	3.80378
bc2113	contig_418	4.78729
bc2113	contig_419	6.64583
bc2113	contig_4640	5.53409
bc2113	contig_4641	5.59041
bc2113	contig_4642	46.7496
bc2113	contig_4643	4.92316
bc2113	contig_4644	4.1115
bc2113	contig_4645	5.7577
bc2113	contig_4646	6.83053
bc2113	contig_4647	4.55477
bc2113	contig_4648	4.09583
bc2113	contig_4649	6.07799
bc2113	contig_3320	2.27797
bc2113	contig_3321	4.59295
bc2113	contig_3322	4.06443
bc2113	contig_3323	2.789
bc2113	contig_3324	2.7561
bc2113	contig_3325	7.40083
bc2113	contig_3326	2.87239
bc2113	contig_3327	3.65101
bc2113	contig_3328	3.34007
bc2113	contig_3329	3.44846
bc2113	contig_4190	5.25681
bc2113	contig_4191	22.8171
bc2113	contig_4192	8.67057
bc2113	contig_4193	7.23552
bc2113	contig_4194	3.19626
bc2113	contig_4196	3.77251
bc2113	contig_4197	4.87304
bc2113	contig_4198	9.09333
bc2113	contig_4199	6.47919
bc2113	contig_2000	2.82938
bc2113	contig_420	8.84092
bc2113	contig_421	3.27142
bc2113	contig_2003	4.71638
bc2113	contig_422	6.11055
bc2113	contig_423	3.23297
bc2113	contig_424	7.45985
bc2113	contig_2006	4.31993
bc2113	contig_425	2.57706
bc2113	contig_2007	11.0147
bc2113	contig_426	3.15212
bc2113	contig_2008	5.05467
bc2113	contig_2009	2.33962
bc2113	contig_429	5.30045
bc2113	contig_4650	5.68668
bc2113	contig_4651	5.77414
bc2113	contig_4652	3.22032
bc2113	contig_4653	4.45958
bc2113	contig_4654	2.872
bc2113	contig_4655	7.87964
bc2113	contig_4656	5.70734
bc2113	contig_4657	56.1662
bc2113	contig_4658	4.35403
bc2113	contig_4659	6.36113
bc2113	contig_3330	3.74434
bc2113	contig_3331	2.87934
bc2113	contig_3332	2.59502
bc2113	contig_3333	4.46101
bc2113	contig_3334	4.12682
bc2113	contig_3335	3.61746
bc2113	contig_3336	4.80152
bc2113	contig_3337	7.42309
bc2113	contig_3338	4.04521
bc2113	contig_3339	2.93749
bc2113	contig_2010	4.23281
bc2113	contig_2011	6.35526
bc2113	contig_430	3.40459
bc2113	contig_2012	3.71895
bc2113	contig_431	2.57573
bc2113	contig_2013	2.25428
bc2113	contig_432	2.91428
bc2113	contig_2014	3.2298
bc2113	contig_2015	7.70238
bc2113	contig_2016	4.53199
bc2113	contig_435	2.2743
bc2113	contig_2017	4.33918
bc2113	contig_436	2.91308
bc2113	contig_2018	3.77524
bc2113	contig_437	2.92491
bc2113	contig_2019	5.58403
bc2113	contig_438	2.28872
bc2113	contig_439	2.84139
bc2113	contig_4660	8.6562
bc2113	contig_4661	5.93948
bc2113	contig_4662	4.42673
bc2113	contig_4664	7.88481
bc2113	contig_4665	5.45058
bc2113	contig_4666	5.3091
bc2113	contig_4667	8.07066
bc2113	contig_4668	3.82069
bc2113	contig_4669	5.72971
bc2113	contig_3340	4.21833
bc2113	contig_3341	2.68877
bc2113	contig_3342	6.01268
bc2113	contig_3343	2.82521
bc2113	contig_3344	3.48167
bc2113	contig_3345	2.77427
bc2113	contig_3346	3.24507
bc2113	contig_3347	2.84179
bc2113	contig_3348	4.37415
bc2113	contig_3349	6.8849
bc2113	contig_3800	3.92148
bc2113	contig_2020	3.81803
bc2113	contig_3801	3.60122
bc2113	contig_2021	6.50025
bc2113	contig_440	2.49451
bc2113	contig_3802	4.90464
bc2113	contig_2022	5.99538
bc2113	contig_441	2.43011
bc2113	contig_3803	3.25869
bc2113	contig_2023	6.56904
bc2113	contig_442	3.17641
bc2113	contig_3804	6.81591
bc2113	contig_2024	3.55469
bc2113	contig_443	2.71638
bc2113	contig_3805	4.10371
bc2113	contig_2025	5.27046
bc2113	contig_444	5.20259
bc2113	contig_3806	4.97124
bc2113	contig_2026	6.18338
bc2113	contig_445	2.69233
bc2113	contig_3807	3.68771
bc2113	contig_2027	7.02767
bc2113	contig_446	4.43259
bc2113	contig_3808	4.11904
bc2113	contig_2028	4.91298
bc2113	contig_447	4.09505
bc2113	contig_3809	4.90101
bc2113	contig_2029	2.57608
bc2113	contig_448	2.96541
bc2113	contig_449	43.2795
bc2113	contig_4670	4.93301
bc2113	contig_4671	5.61592
bc2113	contig_4672	6.03014
bc2113	contig_4673	9.48038
bc2113	contig_4674	6.56753
bc2113	contig_4675	6.32576
bc2113	contig_4676	3.69108
bc2113	contig_4677	4.91078
bc2113	contig_4678	5.69356
bc2113	contig_4679	4.17562
bc2113	contig_900	5.26532
bc2113	contig_901	2.65064
bc2113	contig_902	12.7835
bc2113	contig_903	11.5138
bc2113	contig_904	2.47212
bc2113	contig_905	3.74131
bc2113	contig_906	3.2845
bc2113	contig_907	2.74066
bc2113	contig_908	2.7989
bc2113	contig_909	2.99922
bc2113	contig_3351	7.19342
bc2113	contig_3352	3.91078
bc2113	contig_3353	5.97902
bc2113	contig_3354	2.52026
bc2113	contig_3355	5.15687
bc2113	contig_3356	3.67776
bc2113	contig_3357	3.01306
bc2113	contig_3358	3.85466
bc2113	contig_3359	3.08465
bc2113	contig_2030	4.85556
bc2113	contig_3810	2.8457
bc2113	contig_2031	7.17419
bc2113	contig_3811	5.38526
bc2113	contig_450	2.5344
bc2113	contig_2032	6.88846
bc2113	contig_3812	4.39171
bc2113	contig_451	3.89836
bc2113	contig_2033	5.35678
bc2113	contig_3813	7.22032
bc2113	contig_452	3.29326
bc2113	contig_2034	6.01351
bc2113	contig_3814	3.88037
bc2113	contig_453	3.00609
bc2113	contig_2035	3.31155
bc2113	contig_3815	3.16549
bc2113	contig_454	2.6362
bc2113	contig_2036	2.40841
bc2113	contig_3816	3.65476
bc2113	contig_455	3.62106
bc2113	contig_2037	5.27103
bc2113	contig_3817	4.14837
bc2113	contig_456	3.40073
bc2113	contig_2038	2.90341
bc2113	contig_3818	3.10455
bc2113	contig_457	3.89303
bc2113	contig_2039	5.03404
bc2113	contig_3819	3.71848
bc2113	contig_458	6.10015
bc2113	contig_459	5.70271
bc2113	contig_4680	5.41874
bc2113	contig_4681	7.43195
bc2113	contig_4682	3.64445
bc2113	contig_4683	5.99242
bc2113	contig_4684	6.08135
bc2113	contig_4685	3.96507
bc2113	contig_4686	3.80953
bc2113	contig_4687	11.1364
bc2113	contig_4688	5.39456
bc2113	contig_4689	3.21189
bc2113	contig_914	5.30973
bc2113	contig_915	4.40835
bc2113	contig_916	5.72757
bc2113	contig_917	2.55954
bc2113	contig_3360	3.2016
bc2113	contig_3361	9.3484
bc2113	contig_3362	3.6723
bc2113	contig_3363	4.56193
bc2113	contig_3364	6.06823
bc2113	contig_3365	3.44258
bc2113	contig_3366	3.79787
bc2113	contig_3367	2.77174
bc2113	contig_3368	3.58979
bc2113	contig_3369	6.87328
bc2113	contig_3820	2.99581
bc2113	contig_2040	3.09277
bc2113	contig_3821	3.92943
bc2113	contig_2041	5.44601
bc2113	contig_460	7.13603
bc2113	contig_3822	3.46992
bc2113	contig_2042	5.20324
bc2113	contig_461	3.86184
bc2113	contig_3823	5.92346
bc2113	contig_2043	3.67929
bc2113	contig_462	6.70004
bc2113	contig_3824	4.0038
bc2113	contig_2044	3.34831
bc2113	contig_463	5.70952
bc2113	contig_3825	2.58698
bc2113	contig_2045	3.21895
bc2113	contig_464	2.59755
bc2113	contig_3826	7.58127
bc2113	contig_2046	7.24881
bc2113	contig_465	8.34931
bc2113	contig_3827	3.13707
bc2113	contig_2047	5.65467
bc2113	contig_466	3.71676
bc2113	contig_3828	3.49824
bc2113	contig_2048	3.97029
bc2113	contig_467	4.3441
bc2113	contig_3829	3.42917
bc2113	contig_2049	5.20849
bc2113	contig_468	3.0903
bc2113	contig_469	7.79328
bc2113	contig_4690	5.73579
bc2113	contig_4691	5.37256
bc2113	contig_4692	2.92268
bc2113	contig_4693	4.2958
bc2113	contig_4694	2.72737
bc2113	contig_4695	3.38385
bc2113	contig_4696	5.08554
bc2113	contig_4697	9.18597
bc2113	contig_4698	13.9301
bc2113	contig_4699	5.43867
bc2113	contig_2500	2.55666
bc2113	contig_2501	3.02556
bc2113	contig_920	3.49207
bc2113	contig_2502	2.88631
bc2113	contig_921	2.83344
bc2113	contig_2503	4.75734
bc2113	contig_922	5.5528
bc2113	contig_2504	5.97167
bc2113	contig_923	2.8571
bc2113	contig_2505	6.95898
bc2113	contig_924	3.02759
bc2113	contig_2506	3.56894
bc2113	contig_925	4.33282
bc2113	contig_926	6.13612
bc2113	contig_2509	5.13776
bc2113	contig_929	2.77122
bc2113	contig_3370	4.08102
bc2113	contig_3371	2.66282
bc2113	contig_3372	3.20112
bc2113	contig_3374	3.004
bc2113	contig_3375	3.88978
bc2113	contig_3376	3.981
bc2113	contig_3377	4.18091
bc2113	contig_3378	3.97535
bc2113	contig_3379	2.7936
bc2113	contig_3830	8.09425
bc2113	contig_2050	3.5564
bc2113	contig_3831	3.16559
bc2113	contig_2051	3.86616
bc2113	contig_470	3.67682
bc2113	contig_3832	2.78591
bc2113	contig_2052	5.56644
bc2113	contig_471	2.63877
bc2113	contig_3833	3.33479
bc2113	contig_2053	4.56396
bc2113	contig_472	5.89758
bc2113	contig_3834	4.04364
bc2113	contig_2054	4.06792
bc2113	contig_473	7.29088
bc2113	contig_3835	6.15984
bc2113	contig_2055	3.16844
bc2113	contig_474	5.2844
bc2113	contig_3836	2.6427
bc2113	contig_2056	3.74728
bc2113	contig_475	4.5404
bc2113	contig_3837	13.3444
bc2113	contig_2057	4.14825
bc2113	contig_476	4.03076
bc2113	contig_3838	3.96541
bc2113	contig_2058	2.9623
bc2113	contig_3839	8.2185
bc2113	contig_2059	7.41363
bc2113	contig_479	3.03919
bc2113	contig_2510	2.75632
bc2113	contig_2511	3.8232
bc2113	contig_930	4.86916
bc2113	contig_2512	4.51841
bc2113	contig_931	7.84561
bc2113	contig_2513	4.30099
bc2113	contig_932	6.96383
bc2113	contig_2514	3.67069
bc2113	contig_933	7.18611
bc2113	contig_2515	2.6467
bc2113	contig_2516	3.27342
bc2113	contig_2517	4.80058
bc2113	contig_936	10.4372
bc2113	contig_2518	6.13783
bc2113	contig_937	12.5763
bc2113	contig_2519	4.10989
bc2113	contig_939	3.6416
bc2113	contig_3380	3.1377
bc2113	contig_3381	7.04472
bc2113	contig_3382	5.27432
bc2113	contig_3383	3.5155
bc2113	contig_3385	6.78906
bc2113	contig_3386	6.76625
bc2113	contig_3387	2.7794
bc2113	contig_3388	3.66915
bc2113	contig_3389	4.64655
bc2113	contig_3840	5.3502
bc2113	contig_2060	3.395
bc2113	contig_3841	2.47499
bc2113	contig_2061	4.12165
bc2113	contig_480	6.10976
bc2113	contig_3842	3.58522
bc2113	contig_2062	7.23285
bc2113	contig_481	2.4533
bc2113	contig_3843	3.5349
bc2113	contig_2063	4.51621
bc2113	contig_482	3.72188
bc2113	contig_3844	3.88243
bc2113	contig_2064	4.97105
bc2113	contig_483	5.33116
bc2113	contig_3845	2.77502
bc2113	contig_2065	3.39373
bc2113	contig_3846	6.39361
bc2113	contig_2066	7.02258
bc2113	contig_485	6.25606
bc2113	contig_3847	3.9018
bc2113	contig_2067	4.55859
bc2113	contig_486	6.70025
bc2113	contig_3848	3.42135
bc2113	contig_2068	3.67854
bc2113	contig_487	2.36646
bc2113	contig_3849	3.51016
bc2113	contig_2069	6.54141
bc2113	contig_488	2.97574
bc2113	contig_489	9.63319
bc2113	contig_2520	3.86174
bc2113	contig_2521	4.95403
bc2113	contig_2522	3.62364
bc2113	contig_941	10.5269
bc2113	contig_2523	10.6732
bc2113	contig_942	8.90516
bc2113	contig_943	7.39937
bc2113	contig_944	7.93447
bc2113	contig_2526	4.26716
bc2113	contig_946	9.3369
bc2113	contig_2528	4.27778
bc2113	contig_2529	5.51052
bc2113	contig_948	12.1959
bc2113	contig_3390	4.98733
bc2113	contig_3391	5.3145
bc2113	contig_3392	4.17716
bc2113	contig_3393	3.19942
bc2113	contig_3394	5.77322
bc2113	contig_3395	3.43351
bc2113	contig_3396	4.43237
bc2113	contig_3397	3.47695
bc2113	contig_3398	5.25587
bc2113	contig_3399	2.5421
bc2113	contig_1200	9.1327
bc2113	contig_1201	7.89164
bc2113	contig_1202	6.03925
bc2113	contig_1203	6.2441
bc2113	contig_1204	3.58898
bc2113	contig_1205	4.41408
bc2113	contig_1206	5.38728
bc2113	contig_1207	7.49272
bc2113	contig_1208	6.6979
bc2113	contig_1209	9.49787
bc2113	contig_2070	4.18298
bc2113	contig_3850	3.75124
bc2113	contig_2071	5.85915
bc2113	contig_3851	4.32705
bc2113	contig_490	4.06132
bc2113	contig_2072	3.80954
bc2113	contig_3852	2.81874
bc2113	contig_2073	4.37738
bc2113	contig_3853	3.4715
bc2113	contig_2074	3.4143
bc2113	contig_3854	3.64044
bc2113	contig_493	4.84687
bc2113	contig_2075	3.46318
bc2113	contig_3855	5.98667
bc2113	contig_494	5.41389
bc2113	contig_2076	5.7061
bc2113	contig_3856	3.34273
bc2113	contig_495	7.60932
bc2113	contig_2077	5.01035
bc2113	contig_3857	3.40725
bc2113	contig_2078	5.1031
bc2113	contig_3858	3.17773
bc2113	contig_497	5.95876
bc2113	contig_2079	2.77488
bc2113	contig_3859	3.77142
bc2113	contig_498	6.08528
bc2113	contig_499	2.61344
bc2113	contig_2530	6.76183
bc2113	contig_2531	6.2356
bc2113	contig_2532	4.44419
bc2113	contig_951	9.91109
bc2113	contig_2533	6.30504
bc2113	contig_952	2.95545
bc2113	contig_2534	4.43272
bc2113	contig_953	2.4662
bc2113	contig_2535	2.59982
bc2113	contig_954	2.66791
bc2113	contig_955	7.17153
bc2113	contig_2537	2.56098
bc2113	contig_956	3.13488
bc2113	contig_2538	3.32296
bc2113	contig_957	6.58132
bc2113	contig_2539	2.71411
bc2113	contig_958	7.47936
bc2113	contig_959	14.2844
bc2113	contig_1210	4.41508
bc2113	contig_1211	2.32232
bc2113	contig_1212	3.82472
bc2113	contig_1213	4.33614
bc2113	contig_1214	6.5751
bc2113	contig_1215	9.96312
bc2113	contig_1216	6.76409
bc2113	contig_1217	4.02702
bc2113	contig_1218	4.63063
bc2113	contig_3860	2.73197
bc2113	contig_2080	3.06248
bc2113	contig_3861	3.40357
bc2113	contig_2081	3.71052
bc2113	contig_3862	2.50681
bc2113	contig_2082	11.1778
bc2113	contig_3863	3.1219
bc2113	contig_2083	4.39906
bc2113	contig_3864	4.3405
bc2113	contig_2084	2.66215
bc2113	contig_3865	2.95965
bc2113	contig_2085	6.55895
bc2113	contig_3866	6.02965
bc2113	contig_2086	3.3342
bc2113	contig_3867	5.21564
bc2113	contig_2087	4.44538
bc2113	contig_3868	2.79687
bc2113	contig_2088	3.09565
bc2113	contig_3869	4.15202
bc2113	contig_2089	2.41381
bc2113	contig_2540	3.80036
bc2113	contig_2541	2.70321
bc2113	contig_960	5.62401
bc2113	contig_2542	3.51642
bc2113	contig_961	2.57499
bc2113	contig_2543	2.92377
bc2113	contig_962	7.54083
bc2113	contig_2544	5.19762
bc2113	contig_2545	3.71501
bc2113	contig_2546	4.78415
bc2113	contig_965	2.55574
bc2113	contig_2547	2.57384
bc2113	contig_966	6.3254
bc2113	contig_2548	2.5667
bc2113	contig_967	2.8138
bc2113	contig_2549	3.83637
bc2113	contig_968	5.73468
bc2113	contig_969	2.40843
bc2113	contig_1222	2.62608
bc2113	contig_1223	2.94502
bc2113	contig_1224	3.12056
bc2113	contig_1225	3.72088
bc2113	contig_1226	3.98023
bc2113	contig_1227	3.04906
bc2113	contig_1228	3.75743
bc2113	contig_1229	6.73517
bc2113	contig_3870	4.24555
bc2113	contig_2090	3.88952
bc2113	contig_3871	4.07965
bc2113	contig_2091	2.58663
bc2113	contig_3872	4.93306
bc2113	contig_3873	2.33441
bc2113	contig_2093	6.91378
bc2113	contig_3874	4.35431
bc2113	contig_2094	3.37688
bc2113	contig_3875	3.16814
bc2113	contig_2095	3.00655
bc2113	contig_3876	5.84202
bc2113	contig_2096	5.94799
bc2113	contig_3877	2.31734
bc2113	contig_2097	3.79704
bc2113	contig_3878	3.08146
bc2113	contig_2098	3.45525
bc2113	contig_3879	8.35317
bc2113	contig_2099	6.21038
bc2113	contig_2550	3.73782
bc2113	contig_2551	5.29301
bc2113	contig_970	4.2679
bc2113	contig_2552	5.05319
bc2113	contig_971	2.21176
bc2113	contig_2553	9.88733
bc2113	contig_972	2.42632
bc2113	contig_2554	3.26112
bc2113	contig_973	3.24127
bc2113	contig_2556	4.44085
bc2113	contig_975	2.65935
bc2113	contig_2557	5.6039
bc2113	contig_976	2.47858
bc2113	contig_2558	3.62991
bc2113	contig_977	5.01938
bc2113	contig_2559	4.89292
bc2113	contig_978	5.20607
bc2113	contig_979	2.97308
bc2113	contig_1230	3.2255
bc2113	contig_1231	4.53121
bc2113	contig_1232	3.4379
bc2113	contig_1233	6.77134
bc2113	contig_1236	6.54805
bc2113	contig_1237	3.46655
bc2113	contig_1238	4.22967
bc2113	contig_1239	2.97397
bc2113	contig_3880	3.77646
bc2113	contig_3881	3.17389
bc2113	contig_3882	4.62823
bc2113	contig_3883	3.23346
bc2113	contig_3884	3.04797
bc2113	contig_3885	7.45231
bc2113	contig_3886	2.68726
bc2113	contig_3887	2.7971
bc2113	contig_3888	3.57306
bc2113	contig_3889	3.44411
bc2113	contig_2560	3.04427
bc2113	contig_2561	3.28373
bc2113	contig_980	3.09853
bc2113	contig_2562	3.60693
bc2113	contig_981	3.99433
bc2113	contig_2563	4.30248
bc2113	contig_982	3.4195
bc2113	contig_2564	4.56958
bc2113	contig_983	2.9291
bc2113	contig_984	3.86861
bc2113	contig_2566	7.33528
bc2113	contig_985	5.69713
bc2113	contig_2567	2.32947
bc2113	contig_2568	3.3371
bc2113	contig_2569	6.63528
bc2113	contig_988	2.94615
bc2113	contig_989	4.79404
bc2113	contig_1240	3.11012
bc2113	contig_1241	2.92526
bc2113	contig_1242	7.89573
bc2113	contig_1243	5.74067
bc2113	contig_1244	4.18348
bc2113	contig_1245	6.34248
bc2113	contig_1246	7.50641
bc2113	contig_1247	4.07564
bc2113	contig_1248	5.15124
bc2113	contig_1249	3.60616
bc2113	contig_3890	3.8222
bc2113	contig_3891	4.25902
bc2113	contig_3892	3.54587
bc2113	contig_3894	3.64258
bc2113	contig_3895	7.55667
bc2113	contig_3896	3.12965
bc2113	contig_3897	3.33738
bc2113	contig_3898	3.23086
bc2113	contig_3899	4.71248
bc2113	contig_1700	2.58061
bc2113	contig_1703	3.62435
bc2113	contig_1704	3.08161
bc2113	contig_1705	3.39867
bc2113	contig_1706	5.03348
bc2113	contig_1707	4.60095
bc2113	contig_1708	3.87773
bc2113	contig_1709	6.11685
bc2113	contig_2570	3.24357
bc2113	contig_2571	4.56816
bc2113	contig_2572	5.78977
bc2113	contig_2573	2.89234
bc2113	contig_2574	4.52663
bc2113	contig_993	11.5135
bc2113	contig_2575	7.38852
bc2113	contig_994	3.30932
bc2113	contig_995	3.92683
bc2113	contig_996	6.57952
bc2113	contig_2578	4.09454
bc2113	contig_997	5.38656
bc2113	contig_2579	7.23816
bc2113	contig_998	3.0294
bc2113	contig_999	5.96143
bc2113	contig_1250	5.67111
bc2113	contig_1251	4.94759
bc2113	contig_1252	4.04301
bc2113	contig_1254	6.48448
bc2113	contig_1257	4.48418
bc2113	contig_1259	4.83524
bc2113	contig_1710	8.257
bc2113	contig_1711	6.47614
bc2113	contig_1712	3.16205
bc2113	contig_1713	3.70744
bc2113	contig_1714	4.69575
bc2113	contig_1715	7.65862
bc2113	contig_1716	5.62592
bc2113	contig_1717	4.06786
bc2113	contig_1718	3.89626
bc2113	contig_1719	2.96611
bc2113	contig_2580	9.20359
bc2113	contig_2581	9.84515
bc2113	contig_2584	9.65974
bc2113	contig_2585	5.20703
bc2113	contig_2586	3.33949
bc2113	contig_2587	5.45148
bc2113	contig_2588	5.61293
bc2113	contig_2589	5.85697
bc2113	contig_1262	5.11983
bc2113	contig_1263	4.19704
bc2113	contig_1264	3.05343
bc2113	contig_1266	5.58717
bc2113	contig_1267	3.39789
bc2113	contig_1268	3.69542
bc2113	contig_1269	3.6134
bc2113	contig_1720	3.31109
bc2113	contig_1721	3.34314
bc2113	contig_1722	5.08631
bc2113	contig_1723	3.53031
bc2113	contig_1724	3.63413
bc2113	contig_1725	6.76789
bc2113	contig_1726	4.56759
bc2113	contig_1727	3.80682
bc2113	contig_1728	5.97402
bc2113	contig_1729	3.4915
bc2113	contig_2590	5.21973
bc2113	contig_2591	2.91756
bc2113	contig_2592	3.40068
bc2113	contig_2594	4.21537
bc2113	contig_2595	2.90207
bc2113	contig_2596	4.3366
bc2113	contig_2597	4.82765
bc2113	contig_2598	2.55269
bc2113	contig_2599	5.5022
bc2113	contig_1270	7.54892
bc2113	contig_1271	3.68801
bc2113	contig_1272	3.10379
bc2113	contig_1273	4.74574
bc2113	contig_1274	4.25882
bc2113	contig_1275	3.6195
bc2113	contig_1276	5.84226
bc2113	contig_1277	4.58643
bc2113	contig_1278	3.84933
bc2113	contig_1279	4.97977
bc2113	contig_1730	2.45667
bc2113	contig_1731	3.53702
bc2113	contig_1732	6.80009
bc2113	contig_1733	3.53366
bc2113	contig_1734	3.29408
bc2113	contig_1735	2.04202
bc2113	contig_1736	3.53217
bc2113	contig_1737	3.62911
bc2113	contig_1738	3.10571
bc2113	contig_1739	9.03045
bc2113	contig_1280	5.61816
bc2113	contig_1281	4.6647
bc2113	contig_1282	4.10058
bc2113	contig_1285	5.54135
bc2113	contig_1286	3.95859
bc2113	contig_1287	2.67005
bc2113	contig_1288	4.26517
bc2113	contig_1289	3.68175
bc2113	contig_1740	3.93709
bc2113	contig_1743	6.21524
bc2113	contig_1744	2.6451
bc2113	contig_1745	4.2929
bc2113	contig_1746	4.76361
bc2113	contig_1747	4.47294
bc2113	contig_1748	3.80079
bc2113	contig_1749	6.49618
bc2113	contig_4300	9.26311
bc2113	contig_4301	3.97704
bc2113	contig_4302	6.51192
bc2113	contig_4303	7.23031
bc2113	contig_4304	4.27176
bc2113	contig_4305	3.65454
bc2113	contig_4306	5.87176
bc2113	contig_4307	6.21322
